address_hierarchy_entry_idEPTS,name EPTS,level_idEPTS,parent_idEPTS,user_generated_idEPTS,latitudeEPTS,longitudeEPTS,elevationEPTS,uuidEPTS,address_hierarchy_entry_id,name,level_id,parent_id,user_generated_id,latitude,longitude,elevation,uuid
1142,Panda,3,1130,,,,,70dd312d-2bab-405e-8d53-542fa7c9e893,,Panda,,,,,,,b9fb1ffb-6a1e-4f60-978b-c25a3f9307aa
1143,Vilankulos,3,1130,,,,,36db44d8-e1fb-431b-9f4a-cddecd90ec01,,VILANKULOS,,,,,,,79f06679-04e4-487d-8200-1e5c37ed7df9
1144,Sofala,2,1107,,,,,a41f5e7b-bf9e-4f66-a77b-6cc47c20ddbf,2161,Sofala,10,1734,,,,,e0e46f94-265d-40bc-bfd3-0c01c3e8c207
1145,Beira,3,1144,,,,,14036557-df46-4b9a-8d48-4a7fc6902e7f,,Beira,,,,,,,bd26c7c6-f5cd-4018-b50f-2fe31b7eb3a6
1146,Buzi,3,1144,,,,,0f24b5eb-4627-4050-a872-35c9333b9480,,Buzi,,,,,,,4090ca90-2491-4bb1-8e67-b857022a2b4d
1147,Caia,3,1144,,,,,a5596214-13e2-4400-930b-4f260eeecabf,,Caia,,,,,,,ac1bd171-498c-404f-a355-fa196d18a248
1148,Chemba,3,1144,,,,,fa3ccda5-4a02-42e8-bc8c-b07fea2793de,,Chemba,,,,,,,3c11293f-bb0b-4c87-b44a-50a2c2904dd8
1149,Cheringoma,3,1144,,,,,b865abe2-167a-4a1f-828a-8b90440343ec,,Cheringoma,,,,,,,efbc6af2-7966-4fbd-b2d9-9746fba54e80
1150,Chibabava,3,1144,,,,,a0c48f0d-3c0d-4325-975e-e800fa1e1da6,,Chibabava,,,,,,,a5385bd8-5b0c-4bc2-8951-4e1444e6c118
1150,Chibabava,3,1144,,,,,a0c48f0d-3c0d-4325-975e-e800fa1e1da6,,Chibabava,,,,,,,a5385bd8-5b0c-4bc2-8951-4e1444e6c118
1151,Dondo,3,1144,,,,,88d1db12-a312-43b1-86dc-39511fd2c221,,Dondo,,,,,,,90391dcd-b2d7-46cb-94a8-01c8dcbdb995
1151,Dondo,3,1144,,,,,88d1db12-a312-43b1-86dc-39511fd2c221,,Dondo,,,,,,,90391dcd-b2d7-46cb-94a8-01c8dcbdb995
1152,Gorongosa,3,1144,,,,,8c75ac10-62a2-4458-bbf6-8dd713e372da,,Gorongosa,,,,,,,59c794b8-5dbb-48f6-8b9d-1f5bc5644534
1153,Machanga,3,1144,,,,,4c81d07f-6517-4975-a2ae-0c036c9ae827,,Machanga,,,,,,,92335b19-216d-4b8a-89a7-a1df81e3eb73
1153,Machanga,3,1144,,,,,4c81d07f-6517-4975-a2ae-0c036c9ae827,,Machanga,,,,,,,92335b19-216d-4b8a-89a7-a1df81e3eb73
1154,Maringue,3,1144,,,,,6b6742d3-d6cd-4abc-aa03-f9a0e54e8638,,Maringue,,,,,,,88be46fc-7199-4bcd-9a92-524c1ca9c434
1155,Marromeu,3,1144,,,,,9c726fad-6395-42b7-b5f4-c6778ddf620e,,Marromeu,,,,,,,e6aa9595-65c2-4a6f-a437-646b47ab83ec
1156,Muanza,3,1144,,,,,b0134a1a-9f73-4e6d-bbdf-905169176722,,Muanza,,,,,,,7fe7cb79-8695-454a-a12e-1d0ee54a229a
1157,Nhamatanda,3,1144,,,,,16afd5ba-3a18-42bb-bbec-e2280a33f76a,,Nhamatanda,,,,,,,ec23fda8-713d-49d5-8199-cf7c4b1c4bd7
1158,Manica,2,1107,,,,,4c7e6a17-b556-48a6-ac3f-6bec46b4f030,2017,Manica,10,1734,,,,,4c1306ce-6e2e-48aa-89a8-fc94f48606a4
1159,Chimoio,3,1158,,,,,5cf1a005-b1af-42f8-8e74-5350b48b7860,,#N/A,,,,,,,#N/A
1160,Barue,3,1158,,,,,28ffecb8-2cdc-4f11-8421-7f2b62a8a663,,Barue,,,,,,,261cd740-8114-4da3-8687-c14024cebd91
1161,Gondola,3,1158,,,,,982e350d-d4ef-42ef-b48c-fe4aeafd5df2,,Gondola,,,,,,,b85f90db-0fd5-4159-8850-f73ea27ccaec
1161,Gondola,3,1158,,,,,982e350d-d4ef-42ef-b48c-fe4aeafd5df2,,Gondola,,,,,,,b85f90db-0fd5-4159-8850-f73ea27ccaec
1162,Guro,3,1158,,,,,bde91702-639d-4486-a505-a9268fdb9bcf,,Guro,,,,,,,85482543-305e-4b33-8c32-316218603c79
1163,Machaze,3,1158,,,,,062627e7-4d2f-42d4-9f87-df8ae7175b6a,,Machaze,,,,,,,5a78ab33-c85e-4bf2-b003-edafe7d03423
1164,Macossa,3,1158,,,,,dd0a0373-f06e-451e-adec-28cb224799dc,,Macossa,,,,,,,cbd733d3-c388-4651-b0e4-6b8184ed353a
1165,Manica,3,1158,,,,,fc5fecfb-8502-4354-a30d-730a8727ec60,,Manica,,,,,,,4c1306ce-6e2e-48aa-89a8-fc94f48606a4
1166,Mossurize,3,1158,,,,,1bd1fa54-d10d-4014-8334-28aeb2108f0b,,Mossurize,,,,,,,9bf7202d-9885-4533-885f-a5153c9d36bc
1167,Sussundenga,3,1158,,,,,31857c96-07f5-44d5-a120-fd3894c4d93c,,Sussundenga,,,,,,,62f310c8-04f5-4ce1-aa34-98fe289f30b1
1168,Tambara,3,1158,,,,,6d204bbe-9ba4-47b0-b1b4-798b40712206,,Tambara,,,,,,,395f9684-483d-4467-bf76-dcf169cd6684
1169,Tete,2,1107,,,,,234e7d8a-5edc-46d7-8f77-92952680d080,2321,Tete,10,1734,,,,,fa974832-43ba-4bdf-b512-d3300bbbd67a
1170,Cidade de Tete,3,1169,,,,,e8e6ac99-fb1a-4702-bf22-51882fb1a8e6,,CIDADE DE TETE,,,,,,,f9b1f06c-8b97-41ab-8d26-fbfe1de1e8bb
1171,Angonia,3,1169,,,,,36ce1ae5-83b9-4270-95d9-1e95aaf9cb31,2333,Angonia,11,2321,,,,,de40c9b8-6d14-471b-ae84-e559bf184721
1172,Ulongoe,4,1171,,,,,412eb5f3-79b5-47dc-b348-9d8ab50c174e,,#N/A,,,,,,,#N/A
1173,Kalomwe,5,1172,,,,,864aa1bf-3dfa-42d8-90e3-081d5409f83a,,#N/A,,,,,,,#N/A
1174,Chimwala,5,1172,,,,,2148980c-c20e-490c-a80b-257c741f252d,,Chimwala,,,,,,,aad7c448-e812-4c54-9910-02b52a58c324
1175,Dzunga,5,1172,,,,,9756aa50-5cc3-4c1d-b60d-85a207225bd9,,Dzunga,,,,,,,0b860b51-f266-47e1-82ee-ea1c690a48d5
1176,Mangane,5,1172,,,,,550c07ee-900b-4ae3-9a52-e41dee12c131,,#N/A,,,,,,,#N/A
1177,Mawonekera,5,1172,,,,,82c6363a-4dd4-4cb1-9407-939560e275ce,,#N/A,,,,,,,#N/A
